serie,numero,idioma,url,filename,status,message
Artículo de investigación,63,ENG,https://www.palermo.edu/Archivos_content/2024/cele/septiembre/2024_09_30_addressing_internet_disinformation_CELE.pdf,Artículo_de_investigación_63_ENG_02.pdf,saved,saved
Artículo de investigación,62,ESP,https://www.palermo.edu/Archivos_content/2024/cele/octubre/2024_11_11_desinformacion_CELE.pdf,Artículo_de_investigación_62_ESP.pdf,saved,saved
Documento de posición,21,,https://www.palermo.edu/Archivos_content/2024/cele/octubre/2014_10_04_DP21_CELE.pdf,Documento_de_posición_21.pdf,saved,saved
Documento de posición,20,,https://www.palermo.edu/Archivos_content/2024/cele/septiembre/2024_09_30_DP20_CELE.pdf,Documento_de_posición_20.pdf,saved,saved
Documento de posición,19,,https://www.palermo.edu/Archivos_content/2024/cele/agosto/amicus-colombia/2024_08_CELE_DP19.pdf,Documento_de_posición_19.pdf,saved,saved
Documento de posición,18,,https://www.palermo.edu/Archivos_content/2024/cele/agosto/amicus-paraguay/TEDIC_et_al_DP18.pdf,Documento_de_posición_18.pdf,saved,saved
Trabajos publicados,61,,https://www.palermo.edu/Archivos_content/2024/cele/agosto/la-ley/2024_08_Zara_DelCampo_AI61.pdf,Trabajos_publicados_61.pdf,saved,saved
Documento de posición,17,ENG,https://www.palermo.edu/Archivos_content/2024/cele/agosto/t-20/TF05_ST_06__A_Latin_American_P66d7097f98d4f.pdf,Documento_de_posición_17_ENG.pdf,saved,saved
Artículo de investigación,60,ESP,https://www.palermo.edu/Archivos_content/2024/cele/julio/paper-foro-publico/240710-a-proposito-metafora-de-rrss.pdf,Artículo_de_investigación_60_ESP.pdf,saved,saved
Documento de posición,16,,https://www.palermo.edu/Archivos_content/2024/cele/marzo/2024_03_07_DP16.pdf,Documento_de_posición_16.pdf,saved,saved
Documento de posición,15,,https://docs.google.com/document/d/1ciBvMEx4M5qQGk7mCTI962b-6s3gpAt8/edit?usp=sharing&ouid=103019842338573833357&rtpof=true&sd=true,Documento_de_posición_15.pdf,saved,"saved, but content type looks unusual: text/html; charset=utf-8"
Documento de posición,14,,https://www.palermo.edu/Archivos_content/2024/cele/paper-dsa/dsa.pdf,Documento_de_posición_14.pdf,saved,saved
Documento de posición,13,,https://www.palermo.edu/Archivos_content/2024/cele/mayo/2024_05_09_DP13_CELE.pdf,Documento_de_posición_13.pdf,saved,saved
Artículo de investigación,59,,https://www.palermo.edu/Archivos_content/2024/cele/abril/paper-tedic/violencia-genero-libertad-expresion%20(2).pdf,Artículo_de_investigación_59.pdf,saved,saved
Artículo de investigación,58,,https://www.palermo.edu/Archivos_content/2023/cele/papers/231115-Bertoni-reporte-inicial-OSINT.pdf,Artículo_de_investigación_58.pdf,saved,saved
Documento de posición,12,,https://www.palermo.edu/Archivos_content/2023/cele/papers/Amicus_Colombia.pdf,Documento_de_posición_12.pdf,saved,saved
Documento de posición,11,,https://www.palermo.edu/Archivos_content/2023/cele/CELE_ai_submission_v1.pdf,Documento_de_posición_11.pdf,saved,saved
Trabajos publicados,,ENG,https://intellectdiscover.com/content/journals/10.1386/jdmp_00120_1?fmt=rss,Trabajos_publicados_missing_ENG.pdf,saved,"saved, but content type looks unusual: application/rss+xml;charset=UTF-8"
Artículo de investigación,57b,,https://www.palermo.edu/Archivos_content/2023/cele/papers/233008-reporte-regional-OSINT.pdf,Artículo_de_investigación_57b.pdf,saved,saved
Documento de posición,10,,https://www.palermo.edu/Archivos_content/2023/cele/papers/CELE_submission_Glossary.pdf,Documento_de_posición_10_01.pdf,saved,saved
Documento de posición,10,,https://www.palermo.edu/Archivos_content/2023/cele/papers/Amicus-CELE.pdf,Documento_de_posición_10_02.pdf,saved,saved
,,,,missing_missing_03.pdf,skipped,blank Link
9,,"Matías Gonzalez Mama y Lina Paola Velásquez Veloza, “Nuevas discusiones sobre el proyecto de ley de noticias falsas en Brasil.",,"9_missing_Matías_Gonzalez_Mama_y_Lina_Paola_Velásquez_Veloza,_“Nuevas_discusiones_sobre_el_proyecto_de_ley_de_noticias_falsas_en_Brasil.pdf",skipped,blank Link
,,,,missing_missing_04.pdf,skipped,blank Link
Informe legislativo,8,,https://www.palermo.edu/Archivos_content/2022/cele/papers/iniciativas-legislativas-sobre-privacidad.pdf,Informe_legislativo_8.pdf,saved,saved
Informe legislativo,7,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-3-La-nueva-Ley-de-Mercados-Digitales-europea.docx.pdf,Informe_legislativo_7.pdf,saved,saved
Informe legislativo,6,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-2-La-nueva-Ley-de-Servicios-Digitales-europea.docx.pdf,Informe_legislativo_6.pdf,saved,saved
Informe legislativo,5,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-8_-Argentina-Proyecto-de-Ley-de-Proteccion-de-Datos-Personales.pdf,Informe_legislativo_5.pdf,saved,saved
Informe legislativo,4,,https://observatoriolegislativocele.com/wp-content/uploads/Reporte-5_-Estados-Unidos-Ley-de-Florida-SB-7072-sobre-moderacion-de-contenidos-en-las-redes-sociales.pdf,Informe_legislativo_4.pdf,saved,saved
